image,package_id,current_zone
normal_0000.png,PKG003,B
normal_0001.png,PKG001,B
normal_0002.png,PKG005,B
normal_0003.png,PKG004,A
normal_0004.png,PKG005,A
normal_0005.png,PKG005,A
normal_0006.png,PKG003,A
normal_0007.png,PKG005,C
normal_0008.png,PKG002,A
normal_0009.png,PKG004,A
normal_0010.png,PKG004,A
normal_0011.png,PKG001,A
normal_0012.png,PKG002,C
normal_0013.png,PKG003,C
normal_0014.png,PKG005,C
normal_0015.png,PKG005,A
normal_0016.png,PKG004,C
normal_0017.png,PKG001,A
normal_0018.png,PKG001,C
normal_0019.png,PKG001,A
normal_0020.png,PKG001,B
normal_0021.png,PKG004,A
normal_0022.png,PKG005,C
normal_0023.png,PKG005,B
normal_0024.png,PKG002,A
normal_0025.png,PKG005,A
normal_0026.png,PKG002,A
normal_0027.png,PKG002,A
normal_0028.png,PKG004,C
normal_0029.png,PKG001,A
normal_0030.png,PKG004,A
normal_0031.png,PKG002,A
normal_0032.png,PKG005,A
normal_0033.png,PKG004,A
normal_0034.png,PKG003,A
normal_0035.png,PKG004,C
normal_0036.png,PKG002,A
normal_0037.png,PKG001,A
normal_0038.png,PKG005,A
normal_0039.png,PKG004,A
normal_0040.png,PKG002,A
normal_0041.png,PKG004,C
normal_0042.png,PKG005,C
normal_0043.png,PKG002,A
normal_0044.png,PKG002,A
normal_0045.png,PKG004,B
normal_0046.png,PKG001,C
normal_0047.png,PKG002,A
normal_0048.png,PKG005,C
normal_0049.png,PKG001,A
normal_0050.png,PKG005,B
normal_0051.png,PKG004,A
normal_0052.png,PKG003,A
normal_0053.png,PKG005,A
normal_0054.png,PKG005,A
normal_0055.png,PKG003,B
normal_0056.png,PKG004,A
normal_0057.png,PKG003,B
normal_0058.png,PKG001,B
normal_0059.png,PKG002,A
normal_0060.png,PKG001,A
normal_0061.png,PKG005,A
normal_0062.png,PKG004,A
normal_0063.png,PKG001,A
normal_0064.png,PKG001,A
normal_0065.png,PKG005,B
normal_0066.png,PKG003,A
normal_0067.png,PKG004,C
normal_0068.png,PKG005,B
normal_0069.png,PKG002,A
normal_0070.png,PKG004,C
normal_0071.png,PKG005,A
normal_0072.png,PKG002,B
normal_0073.png,PKG002,A
normal_0074.png,PKG002,A
normal_0075.png,PKG005,A
normal_0076.png,PKG001,A
normal_0077.png,PKG003,A
normal_0078.png,PKG004,A
normal_0079.png,PKG005,C
normal_0080.png,PKG001,C
normal_0081.png,PKG003,C
normal_0082.png,PKG004,A
normal_0083.png,PKG003,A
normal_0084.png,PKG001,A
normal_0085.png,PKG001,A
normal_0086.png,PKG005,A
normal_0087.png,PKG005,B
normal_0088.png,PKG005,C
normal_0089.png,PKG004,A
normal_0090.png,PKG003,C
normal_0091.png,PKG002,A
normal_0092.png,PKG001,B
normal_0093.png,PKG003,A
normal_0094.png,PKG003,A
normal_0095.png,PKG002,A
normal_0096.png,PKG002,B
normal_0097.png,PKG005,A
normal_0098.png,PKG004,A
normal_0099.png,PKG004,A
