image,package_id,current_zone
unreadable_0000.png,PKG001,A
unreadable_0001.png,PKG001,A
unreadable_0002.png,PKG001,A
unreadable_0003.png,PKG001,A
unreadable_0004.png,PKG001,A
unreadable_0005.png,PKG001,A
unreadable_0006.png,PKG001,A
unreadable_0007.png,PKG001,A
unreadable_0008.png,PKG001,A
unreadable_0009.png,PKG001,A
unreadable_0010.png,PKG001,A
unreadable_0011.png,PKG001,A
unreadable_0012.png,PKG001,A
unreadable_0013.png,PKG001,A
unreadable_0014.png,PKG001,A
unreadable_0015.png,PKG001,A
unreadable_0016.png,PKG001,A
unreadable_0017.png,PKG001,A
unreadable_0018.png,PKG001,A
unreadable_0019.png,PKG001,A
unreadable_0020.png,PKG001,A
unreadable_0021.png,PKG001,A
unreadable_0022.png,PKG001,A
unreadable_0023.png,PKG001,A
unreadable_0024.png,PKG001,A
unreadable_0025.png,PKG001,A
unreadable_0026.png,PKG001,A
unreadable_0027.png,PKG001,A
unreadable_0028.png,PKG001,A
unreadable_0029.png,PKG001,A
unreadable_0030.png,PKG001,A
unreadable_0031.png,PKG001,A
unreadable_0032.png,PKG001,A
unreadable_0033.png,PKG001,A
unreadable_0034.png,PKG001,A
unreadable_0035.png,PKG001,A
unreadable_0036.png,PKG001,A
unreadable_0037.png,PKG001,A
unreadable_0038.png,PKG001,A
unreadable_0039.png,PKG001,A
unreadable_0040.png,PKG001,A
unreadable_0041.png,PKG001,A
unreadable_0042.png,PKG001,A
unreadable_0043.png,PKG001,A
unreadable_0044.png,PKG001,A
unreadable_0045.png,PKG001,A
unreadable_0046.png,PKG001,A
unreadable_0047.png,PKG001,A
unreadable_0048.png,PKG001,A
unreadable_0049.png,PKG001,A
unreadable_0050.png,PKG001,A
unreadable_0051.png,PKG001,A
unreadable_0052.png,PKG001,A
unreadable_0053.png,PKG001,A
unreadable_0054.png,PKG001,A
unreadable_0055.png,PKG001,A
unreadable_0056.png,PKG001,A
unreadable_0057.png,PKG001,A
unreadable_0058.png,PKG001,A
unreadable_0059.png,PKG001,A
unreadable_0060.png,PKG001,A
unreadable_0061.png,PKG001,A
unreadable_0062.png,PKG001,A
unreadable_0063.png,PKG001,A
unreadable_0064.png,PKG001,A
unreadable_0065.png,PKG001,A
unreadable_0066.png,PKG001,A
unreadable_0067.png,PKG001,A
unreadable_0068.png,PKG001,A
unreadable_0069.png,PKG001,A
unreadable_0070.png,PKG001,A
unreadable_0071.png,PKG001,A
unreadable_0072.png,PKG001,A
unreadable_0073.png,PKG001,A
unreadable_0074.png,PKG001,A
unreadable_0075.png,PKG001,A
unreadable_0076.png,PKG001,A
unreadable_0077.png,PKG001,A
unreadable_0078.png,PKG001,A
unreadable_0079.png,PKG001,A
