image,package_id,current_zone
perspective_0000.png,PKG003,A
perspective_0001.png,PKG002,A
perspective_0002.png,PKG002,A
perspective_0003.png,PKG005,A
perspective_0004.png,PKG004,A
perspective_0005.png,PKG004,A
perspective_0006.png,PKG003,A
perspective_0007.png,PKG001,A
perspective_0008.png,PKG003,A
perspective_0009.png,PKG005,A
perspective_0010.png,PKG004,A
perspective_0011.png,PKG001,A
perspective_0012.png,PKG004,A
perspective_0013.png,PKG002,A
perspective_0014.png,PKG001,A
perspective_0015.png,PKG004,A
perspective_0016.png,PKG001,A
perspective_0017.png,PKG003,A
perspective_0018.png,PKG001,A
perspective_0019.png,PKG003,A
perspective_0020.png,PKG004,A
perspective_0021.png,PKG005,A
perspective_0022.png,PKG005,A
perspective_0023.png,PKG005,A
perspective_0024.png,PKG001,A
perspective_0025.png,PKG005,A
perspective_0026.png,PKG004,A
perspective_0027.png,PKG004,A
perspective_0028.png,PKG005,A
perspective_0029.png,PKG002,A
perspective_0030.png,PKG003,A
perspective_0031.png,PKG001,A
perspective_0032.png,PKG001,A
perspective_0033.png,PKG005,A
perspective_0034.png,PKG005,A
perspective_0035.png,PKG003,A
perspective_0036.png,PKG005,A
perspective_0037.png,PKG005,A
perspective_0038.png,PKG004,A
perspective_0039.png,PKG003,A
perspective_0040.png,PKG004,A
perspective_0041.png,PKG001,A
perspective_0042.png,PKG002,A
perspective_0043.png,PKG005,A
perspective_0044.png,PKG004,A
perspective_0045.png,PKG005,A
perspective_0046.png,PKG005,A
perspective_0047.png,PKG002,A
perspective_0048.png,PKG003,A
perspective_0049.png,PKG002,A
perspective_0050.png,PKG004,A
perspective_0051.png,PKG001,A
perspective_0052.png,PKG004,A
perspective_0053.png,PKG003,A
perspective_0054.png,PKG004,A
perspective_0055.png,PKG002,A
perspective_0056.png,PKG001,A
perspective_0057.png,PKG002,A
perspective_0058.png,PKG002,A
perspective_0059.png,PKG003,A
perspective_0060.png,PKG001,A
perspective_0061.png,PKG004,A
perspective_0062.png,PKG001,A
perspective_0063.png,PKG002,A
perspective_0064.png,PKG001,A
perspective_0065.png,PKG005,A
perspective_0066.png,PKG003,A
perspective_0067.png,PKG005,A
perspective_0068.png,PKG001,A
perspective_0069.png,PKG004,A
perspective_0070.png,PKG002,A
perspective_0071.png,PKG004,A
perspective_0072.png,PKG003,A
perspective_0073.png,PKG002,A
perspective_0074.png,PKG005,A
perspective_0075.png,PKG005,A
perspective_0076.png,PKG004,A
perspective_0077.png,PKG005,A
perspective_0078.png,PKG005,A
perspective_0079.png,PKG004,A
